SampleID	Name	Plant_ID	Type	Experiment	Cohort	Harvested	Age	Site	Treatment	Line	Genotype	Block	oldPlate	newPlate	Analysis
M1961P1291	20_B_6.root	20_B_6	root	rilGH	NA	2012	NA	GRH	SADsoil	11	ril	b20	p214	M1961	BCMA
M1957P994	20_C_10.root	20_C_10	root	rilGH	NA	2012	NA	GRH	SADsoil	125	ril	b20	p210	M1957	BCMA
M1960P1228	20_C_6.root	20_C_6	root	rilGH	NA	2012	NA	GRH	SADsoil	122	ril	b20	p213	M1960	BCMA
M1961P1313	20_C_8.root	20_C_8	root	rilGH	NA	2012	NA	GRH	SADsoil	139	ril	b20	p214	M1961	BCMA
M1958P1066	20_D_11.root	20_D_11	root	rilGH	NA	2012	NA	GRH	SADsoil	115	ril	b20	p211	M1958	BCMA
M1956P870	20_D_3.root	20_D_3	root	rilGH	NA	2012	NA	GRH	SADsoil	72	ril	b20	p209	M1956	BCMA
M1961P1350	20_D_3.root	20_D_3	root	rilGH	NA	2012	NA	GRH	SADsoil	72	ril	b20	p209	M1961	BCMA
M1957P926	20_D_5.root	20_D_5	root	rilGH	NA	2012	NA	GRH	SADsoil	156	ril	b20	p210	M1957	BCMA
M1955P820	21_A_10.soil	21_A_10	soil	rilGH	NA	2012	NA	GRH	SADsoil	NA	soil	b21	p208	M1955	BCMA
M1961P1306	21_A_11.root	21_A_11	root	rilGH	NA	2012	NA	GRH	SADsoil	182	ril	b21	p214	M1961	BCMA
M1960P1268	21_A_4.root	21_A_4	root	rilGH	NA	2012	NA	GRH	SADsoil	109	ril	b21	p213	M1960	BCMA
M1961P1345	21_A_6.root	21_A_6	root	rilGH	NA	2012	NA	GRH	SADsoil	118	ril	b21	p214	M1961	BCMA
M1957P981	21_A_7.root	21_A_7	root	rilGH	NA	2012	NA	GRH	SADsoil	LTM	ril	b21	p210	M1957	BCMA
M1959P1188	21_A_8.root	21_A_8	root	rilGH	NA	2012	NA	GRH	SADsoil	114	ril	b21	p212	M1959	BCMA
M1960P1249	21_A_9.root	21_A_9	root	rilGH	NA	2012	NA	GRH	SADsoil	50	ril	b21	p213	M1960	BCMA
M1977P1744	21_B_10.root	21_B_10	root	rilGH	NA	2012	NA	GRH	SADsoil	22	ril	b21	p217	M1977	BCMA
M1955P769	21_B_6.root	21_B_6	root	rilGH	NA	2012	NA	GRH	SADsoil	142	ril	b21	p208	M1955	BCMA
M1955P816	21_C_1.root	21_C_1	root	rilGH	NA	2012	NA	GRH	SADsoil	70	ril	b21	p208	M1955	BCMA
M1957P958	21_C_4.soil	21_C_4	soil	rilGH	NA	2012	NA	GRH	SADsoil	NA	soil	b21	p210	M1957	BCMA
M1961P1315	21_C_5.root	21_C_5	root	rilGH	NA	2012	NA	GRH	SADsoil	113	ril	b21	p214	M1961	BCMA
M1960P1242	21_C_8.root	21_C_8	root	rilGH	NA	2012	NA	GRH	SADsoil	65	ril	b21	p213	M1960	BCMA
M1958P1070	21_D_1.root	21_D_1	root	rilGH	NA	2012	NA	GRH	SADsoil	138	ril	b21	p211	M1958	BCMA
M1690P1403	21_D_10.root	21_D_10	root	rilGH	NA	2012	NA	GRH	SADsoil	6	ril	b21	p215	M1690	BCMA
M1959P1172	21_D_4.root	21_D_4	root	rilGH	NA	2012	NA	GRH	SADsoil	150	ril	b21	p212	M1959	BCMA
M1960P1199	21_D_6.root	21_D_6	root	rilGH	NA	2012	NA	GRH	SADsoil	23	ril	b21	p213	M1960	BCMA
M1957P1003	21_D_7.root	21_D_7	root	rilGH	NA	2012	NA	GRH	SADsoil	19	ril	b21	p210	M1957	BCMA
M1956P908	21_D_8.root	21_D_8	root	rilGH	NA	2012	NA	GRH	SADsoil	16	ril	b21	p209	M1956	BCMA
M1956P867	21_D_9.root	21_D_9	root	rilGH	NA	2012	NA	GRH	SADsoil	136	ril	b21	p209	M1956	BCMA
M1957P929	22_A_1.root	22_A_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	49	ril	b22	p210	M1957	BCMA
M1960P1204	22_A_12.root	22_A_12	root	rilGH	NA	2012	NA	GRH	GRHsoil	8	ril	b22	p213	M1960	BCMA
M1960P1200	22_A_2.root	22_A_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	157	ril	b22	p213	M1960	BCMA
M1958P1074	22_A_4.root	22_A_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	165	ril	b22	p211	M1958	BCMA
M1957P978	22_A_5.root	22_A_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	191	ril	b22	p210	M1957	BCMA
M1956P878	22_A_6.root	22_A_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	134	ril	b22	p209	M1956	BCMA
M1977P1729	22_A_7.root	22_A_7	root	rilGH	NA	2012	NA	GRH	GRHsoil	LTM	ril	b22	p217	M1977	BCMA
M1960P1235	22_A_8.root	22_A_8	root	rilGH	NA	2012	NA	GRH	GRHsoil	62	ril	b22	p213	M1960	BCMA
M1957P947	22_A_9.root	22_A_9	root	rilGH	NA	2012	NA	GRH	GRHsoil	56	ril	b22	p210	M1957	BCMA
M1960P1215	22_B_1.root	22_B_1	root	rilGH	NA	2012	NA	GRH	GRHsoil	LTM	ril	b22	p213	M1960	BCMA
M1958P1033	22_B_10.root	22_B_10	root	rilGH	NA	2012	NA	GRH	GRHsoil	161	ril	b22	p211	M1958	BCMA
M1957P939	22_B_11.root	22_B_11	root	rilGH	NA	2012	NA	GRH	GRHsoil	120	ril	b22	p210	M1957	BCMA
M1960P1198	22_B_12.root	22_B_12	root	rilGH	NA	2012	NA	GRH	GRHsoil	154	ril	b22	p213	M1960	BCMA
M1957P973	22_B_2.root	22_B_2	root	rilGH	NA	2012	NA	GRH	GRHsoil	SAD12	ril	b22	p210	M1957	BCMA
M1958P1071	22_B_3.root	22_B_3	root	rilGH	NA	2012	NA	GRH	GRHsoil	80	ril	b22	p211	M1958	BCMA
M1958P1080	22_B_4.root	22_B_4	root	rilGH	NA	2012	NA	GRH	GRHsoil	149	ril	b22	p211	M1958	BCMA
M1961P1355	22_B_5.root	22_B_5	root	rilGH	NA	2012	NA	GRH	GRHsoil	41	ril	b22	p214	M1961	BCMA
M1959P1175	22_B_6.root	22_B_6	root	rilGH	NA	2012	NA	GRH	GRHsoil	83	ril	b22	p212	M1959	BCMA
